	al/adv	avontuur/noun	behoorlijk/adj	besluit/noun	bestaan/noun	bijzonder/adj	capriool/noun	dans/noun	dat/det	even/adj	even/adv	exercitie/noun	genoeg/adv	het/det	hoe/adj	impasse/noun	klus/noun	koor/noun	kwestie/noun	meest/adj	moment/noun	omstandigheid/noun	onderdeel/noun	onderneming/noun	onderweg/adj	onderwerp/noun	op/adj	opdracht/noun	operatie/noun	opgaaf/noun	oversteek/noun	parkoers/noun	plotseling/adj	poging/noun	positie/noun	prognose/noun	publicitair/adj	reis/noun	rit/noun	situatie/noun	soms/adv	sport/noun	stand_DIM/noun	standpunt/noun	steeds/adv	strijd/noun	structuur/noun	stunt_werk/noun	tafereel/noun	toch/adv	tocht/noun	toer/noun	toestand/noun	trek_aan/verb	uiterst/adj	veiligheid_situatie/noun	vergelijk/verb	voorspel/verb	wat/adv	zaak/noun	zo/adj	zo/adv
even/adv	0.8624855	0.74619734	0.6675546	0.83400583	0.7756087	0.6064074	0.8581639	0.74759245	0.8118711	0.56653625	0.0	0.9040188	0.62152874	0.8101601	0.6331855	0.8957956	0.84793735	0.8163409	0.8291273	0.6073789	0.73551625	0.78865373	0.8365127	0.8454478	0.79492027	0.7529766	0.8107767	0.83337677	0.8401233	0.8658633	0.89624524	0.8034712	0.7035489	0.76555073	0.8267943	0.8892205	0.9272193	0.80255556	0.85007644	0.78387684	0.5336559	0.8306898	0.87889534	0.7883194	0.71114004	0.81506383	0.7641295	0.8938216	0.69907904	0.7450856	0.7846029	0.8200036	0.75737965	0.8147447	0.56280166	0.9347415	0.8041857	0.8259552	0.60905194	0.87274486	0.6051656	0.5459088
exercitie/noun	0.94644505	0.8629096	0.9395206	0.9068944	0.918143	0.88111484	0.9354332	0.9240404	0.8906193	0.9378178	0.9040188	0.0	0.93183416	0.9286828	0.924647	0.8842832	0.91907716	0.9393637	0.8593347	0.9091336	0.91080374	0.9297638	0.94799125	0.8851127	0.9607888	0.89354014	0.9547619	0.9154757	0.85711026	0.9089205	0.92958695	0.9597051	0.9511222	0.8920909	0.9269805	0.9472642	0.9292151	0.8953636	0.9384584	0.8822387	0.89596593	0.9122598	0.92121744	0.8867737	0.92471856	0.9254145	0.92405057	0.89161456	0.92354566	0.9123474	0.90819174	0.911656	0.89684576	0.9631735	0.87792164	0.9131358	0.9622115	0.94319314	0.8874002	0.89574736	0.94777125	0.92032903
genoeg/adv	0.8547002	0.8232842	0.6948528	0.86624616	0.83912265	0.63153833	0.9023843	0.84260833	0.7698901	0.7006997	0.62152874	0.93183416	0.0	0.84569895	0.6459747	0.9093157	0.87688273	0.8912063	0.82744426	0.67644966	0.81670684	0.796043	0.8546189	0.8496629	0.8662114	0.8123958	0.8561222	0.8440317	0.86208105	0.87035626	0.9280289	0.8766134	0.79875	0.82075125	0.86312634	0.87537616	0.8946638	0.8734313	0.8978845	0.7958121	0.6738174	0.8367243	0.8984262	0.8126795	0.7042593	0.8757162	0.8044098	0.9110622	0.8257202	0.67895246	0.85769325	0.86824554	0.80506897	0.81513083	0.6312866	0.92753863	0.84101707	0.8473508	0.679288	0.86788774	0.65349364	0.57127225
het/det	0.8538175	0.85682154	0.78912085	0.8238436	0.79719406	0.8346756	0.94356346	0.8336681	0.7197262	0.8315231	0.8101601	0.9286828	0.84569895	0.0	0.82987636	0.8686675	0.864117	0.86605704	0.8107299	0.8608844	0.8534269	0.81608665	0.7687275	0.80064756	0.8427081	0.8318011	0.87460965	0.8344439	0.8395955	0.8579529	0.91168547	0.8595967	0.8069211	0.8041881	0.8454813	0.87691313	0.8923734	0.8277155	0.87208223	0.8578245	0.82222474	0.8581423	0.9122472	0.82974577	0.78455836	0.7953354	0.81039757	0.9461887	0.85043573	0.8242446	0.80680144	0.87716824	0.8193404	0.85090244	0.828669	0.90333194	0.7895918	0.81470215	0.841462	0.84612364	0.86214614	0.8421329
hoe/adj	0.85116315	0.78659004	0.7086843	0.85507554	0.7906256	0.66998917	0.8821017	0.8365009	0.6698476	0.68923056	0.6331855	0.924647	0.6459747	0.82987636	0.0	0.88786376	0.8799671	0.9038477	0.77461225	0.70871234	0.74049294	0.7481482	0.8631759	0.8439587	0.86252105	0.7355503	0.85806274	0.84981465	0.8603498	0.8454834	0.91764784	0.8941939	0.78327394	0.810011	0.8089436	0.8830385	0.9031393	0.8628507	0.92000836	0.6789706	0.5950929	0.8242792	0.8933565	0.7654443	0.6858635	0.85787034	0.7707583	0.90928835	0.7688114	0.6865309	0.8579364	0.9013323	0.75209594	0.86625826	0.64582187	0.8697237	0.7880367	0.83206964	0.70824826	0.81794906	0.6091784	0.49981612
impasse/noun	0.8929251	0.8679995	0.9296984	0.85910493	0.9062462	0.91365886	0.94662046	0.91308963	0.8831013	0.92467266	0.8957956	0.8842832	0.9093157	0.8686675	0.88786376	0.0	0.92898226	0.94428676	0.7906493	0.8953579	0.9023835	0.88235855	0.924644	0.8891924	0.9298809	0.8604737	0.94355685	0.8909452	0.8678663	0.88078964	0.9154171	0.94185865	0.90037537	0.8118556	0.8435678	0.9222222	0.89269704	0.91563576	0.93332154	0.7772921	0.88709533	0.93297946	0.9387465	0.8653976	0.87432164	0.8400856	0.87904996	0.9167589	0.91433525	0.9219762	0.9279535	0.9320542	0.83553684	0.94636744	0.8696852	0.8637342	0.9292379	0.8775839	0.9293534	0.85067654	0.92336345	0.9087385
klus/noun	0.8785558	0.84486735	0.8569336	0.902877	0.8943436	0.83746564	0.9257783	0.92368937	0.86021274	0.8768071	0.84793735	0.91907716	0.87688273	0.864117	0.8799671	0.92898226	0.0	0.9140031	0.88189995	0.8484136	0.8827867	0.8351569	0.87195504	0.8230842	0.8882302	0.8647078	0.88528436	0.7175309	0.8493104	0.8285775	0.914549	0.85621834	0.8641463	0.88473964	0.87617207	0.9226301	0.9218848	0.86703795	0.8530525	0.8548548	0.8580734	0.8925964	0.9142716	0.91488683	0.87571317	0.89359057	0.8923941	0.92042094	0.88093543	0.8315449	0.8479294	0.89371014	0.876764	0.85770214	0.8414299	0.95563036	0.9225546	0.8977712	0.87465626	0.84180737	0.87770796	0.83561
koor/noun	0.93212557	0.8434805	0.84830344	0.9124717	0.8646188	0.8124728	0.9147665	0.71866214	0.93129027	0.84507656	0.8163409	0.9393637	0.8912063	0.86605704	0.9038477	0.94428676	0.9140031	0.0	0.9144	0.84719336	0.8872615	0.9243809	0.9121432	0.9069433	0.87498736	0.88311636	0.9110328	0.8993164	0.92796046	0.9108151	0.9459945	0.90948576	0.83246046	0.91211134	0.9147961	0.94545233	0.94673645	0.9034047	0.94264793	0.9190407	0.7716774	0.8964844	0.8982727	0.8902624	0.8718929	0.90277284	0.8466915	0.94523287	0.82688856	0.9015362	0.87019944	0.8731741	0.89281964	0.863261	0.82919484	0.96088386	0.8765847	0.8920356	0.843212	0.92956424	0.87067	0.8545627
kwestie/noun	0.88161856	0.8423138	0.7993771	0.79325765	0.8466675	0.8168044	0.93755984	0.84861356	0.7942531	0.82678455	0.8291273	0.8593347	0.82744426	0.8107299	0.77461225	0.7906493	0.88189995	0.9144	0.0	0.83012944	0.82680213	0.8178419	0.8011891	0.8029343	0.9036026	0.5930986	0.8885166	0.8021562	0.82747245	0.8690519	0.9578244	0.9119893	0.82577056	0.79631245	0.804983	0.9178357	0.9097555	0.8957991	0.94586664	0.74579	0.75822365	0.8249476	0.93214035	0.7177702	0.77932036	0.78294104	0.76774335	0.94541764	0.8924543	0.81199527	0.91504824	0.90927565	0.8061534	0.8657187	0.77389854	0.8755452	0.8273488	0.88812214	0.81720144	0.585469	0.8351952	0.8098747
meest/adj	0.84579223	0.78686357	0.7054093	0.85509205	0.79648066	0.599635	0.86159	0.78616667	0.8295159	0.77810925	0.6073789	0.9091336	0.67644966	0.8608844	0.70871234	0.8953579	0.8484136	0.84719336	0.83012944	0.0	0.7732471	0.7587932	0.7954853	0.79522073	0.82772803	0.7412208	0.8238292	0.82706904	0.8475615	0.86135703	0.86361396	0.8560217	0.7840092	0.8258554	0.78751945	0.84777504	0.92061764	0.80647475	0.8921634	0.77409303	0.66843796	0.8057128	0.8811589	0.7866628	0.6624781	0.8214716	0.8040681	0.9185059	0.7640373	0.7675238	0.820111	0.8455205	0.78174376	0.7692374	0.5848719	0.91409504	0.7826984	0.7940154	0.7550287	0.85026115	0.708168	0.6125556
