	tafereel/noun	toch/adv	opdracht/noun	onderweg/adj	hoe/adj	bijzonder/adj	genoeg/adv	strijd/noun	capriool/noun	bestaan/noun	soms/adv	impasse/noun	plotseling/adj	avontuur/noun	behoorlijk/adj	het/det	zaak/noun	structuur/noun	tocht/noun	positie/noun	prognose/noun	steeds/adv	stunt_werk/noun	poging/noun	reis/noun	vergelijk/verb	oversteek/noun	onderneming/noun	sport/noun	parkoers/noun	even/adj	situatie/noun	onderwerp/noun	stand_DIM/noun	standpunt/noun	besluit/noun	toestand/noun	klus/noun	kwestie/noun	meest/adj	voorspel/verb	uiterst/adj	zo/adv	dat/det	wat/adv	onderdeel/noun	moment/noun	op/adj	dans/noun	publicitair/adj	operatie/noun	toer/noun	exercitie/noun	al/adv	koor/noun	trek_aan/verb	even/adv	zo/adj	opgaaf/noun	veiligheid_situatie/noun	rit/noun	omstandigheid/noun
stunt_werk/noun	0.8464069	0.8186747	0.8832649	0.89729804	0.8802711	0.86505073	0.88828677	0.92171466	0.8592836	0.8944771	0.82260257	0.8852429	0.89446044	0.8423214	0.8311394	0.8972902	0.92499256	0.87867755	0.8760212	0.9110803	0.8865924	0.8777976	0.0	0.8769934	0.8935542	0.91130084	0.8790666	0.8971665	0.8959451	0.8265133	0.866951	0.8953438	0.90044284	0.88534737	0.88829184	0.91995925	0.90624356	0.8514537	0.90609854	0.8765205	0.9141983	0.88087404	0.881714	0.83357817	0.85884047	0.8943086	0.9050285	0.8766634	0.87231797	0.86386466	0.8834038	0.8305763	0.876905	0.87352633	0.8824048	0.91379654	0.86958385	0.9057026	0.8873459	0.90017605	0.8986655	0.88499606
poging/noun	0.8647017	0.84392834	0.8325725	0.87935805	0.88137734	0.8885994	0.893846	0.7647084	0.86638486	0.876403	0.86040366	0.7217896	0.8508459	0.7959249	0.8776531	0.8696834	0.83420074	0.87375885	0.8566358	0.8078805	0.8786435	0.8449048	0.8769934	0.0	0.8291622	0.9148214	0.83262175	0.8284339	0.915978	0.90969855	0.87068284	0.8283479	0.86245453	0.8901761	0.81448305	0.8029194	0.85456264	0.88910055	0.853372	0.8851558	0.88904256	0.8035609	0.89972204	0.87995034	0.8882924	0.88914204	0.8881549	0.90185803	0.9170341	0.8624752	0.73696375	0.88574743	0.8353404	0.84082955	0.9330357	0.91359115	0.84749943	0.92746186	0.8853044	0.86327386	0.89808005	0.8614822
reis/noun	0.8274505	0.8703176	0.87751544	0.63262594	0.86259544	0.8656769	0.89781135	0.84323436	0.88087076	0.85450673	0.83759016	0.83843887	0.8691815	0.64692956	0.8847915	0.86031663	0.8877577	0.9140501	0.5177054	0.8938269	0.9249026	0.86833763	0.8935542	0.8291622	0.0	0.89488196	0.65818954	0.8569314	0.846426	0.8034052	0.8462332	0.850366	0.8683901	0.8314754	0.8955868	0.86764765	0.8477167	0.8740506	0.86894095	0.85687435	0.9051663	0.8514175	0.86780524	0.88983023	0.8757694	0.8939513	0.8796523	0.8775515	0.8652247	0.8981668	0.7358829	0.8241119	0.8339908	0.83527106	0.89230657	0.91190135	0.8722912	0.91819274	0.9183076	0.84648067	0.74763	0.89157385
vergelijk/verb	0.8780545	0.83557904	0.8652551	0.8990581	0.8094855	0.83055323	0.9019877	0.89399135	0.86329436	0.9045308	0.8089831	0.8784719	0.88048345	0.8662637	0.82630086	0.8380751	0.9102176	0.82510984	0.93753284	0.85374	0.87499756	0.85341775	0.91130084	0.9148214	0.89488196	0.0	0.9154047	0.85483944	0.8362448	0.8845336	0.9135499	0.8627953	0.8363292	0.8761096	0.8612701	0.91752785	0.87911654	0.903451	0.87808776	0.8015212	0.7496575	0.8536144	0.8704539	0.8154987	0.85532176	0.8554051	0.9170502	0.905805	0.8463602	0.83744437	0.89173555	0.906519	0.8842361	0.9102783	0.88485485	0.85505325	0.8859447	0.8714346	0.87432563	0.9177053	0.94116354	0.86854154
oversteek/noun	0.85025644	0.88168544	0.8784998	0.7023999	0.8780676	0.90032494	0.9093396	0.89743036	0.8514191	0.8812063	0.8689079	0.87676746	0.85209656	0.7769553	0.8934897	0.8617082	0.90726435	0.9221819	0.6818508	0.88406134	0.869575	0.87012106	0.8790666	0.83262175	0.65818954	0.9154047	0.0	0.88420534	0.8928503	0.8049567	0.8686389	0.86671245	0.91853976	0.8460673	0.9071987	0.90877014	0.8718472	0.8535937	0.912414	0.8474143	0.8795526	0.88447547	0.88440764	0.88594276	0.8875036	0.8969484	0.889111	0.88990974	0.89123046	0.89287513	0.8302735	0.84014076	0.88526976	0.8406719	0.9041278	0.9007922	0.869203	0.9071815	0.9036218	0.89918834	0.8002949	0.8666725
onderneming/noun	0.8978857	0.89665055	0.7751882	0.92340946	0.87673616	0.8320122	0.89984226	0.8673228	0.8926394	0.8471206	0.8982412	0.8301145	0.87410694	0.8363413	0.7945945	0.81200206	0.7858853	0.6904671	0.8829658	0.71901333	0.73173547	0.7641176	0.8971665	0.8284339	0.8569314	0.85483944	0.88420534	0.0	0.8074976	0.89126027	0.9402864	0.8108265	0.8322507	0.8446773	0.8333711	0.8197672	0.8404849	0.85752356	0.8319321	0.7980417	0.79295725	0.8429585	0.8777301	0.8509582	0.8996254	0.6325248	0.9103445	0.92908245	0.90063	0.81643134	0.73567045	0.8661619	0.83083737	0.82740986	0.8613473	0.7769044	0.9024086	0.91110605	0.87334657	0.84960973	0.9277047	0.8062318
sport/noun	0.8518719	0.81364447	0.8785245	0.87485296	0.83020216	0.753795	0.8386835	0.88200396	0.8566491	0.85400116	0.8169552	0.90360457	0.85366654	0.81234455	0.81281847	0.85243434	0.83330256	0.79151005	0.867452	0.86205554	0.9037256	0.7641	0.8959451	0.915978	0.846426	0.8362448	0.8928503	0.8074976	0.0	0.8255094	0.8977147	0.865566	0.6746141	0.81879514	0.8643843	0.9303295	0.87969095	0.872505	0.7859968	0.7890803	0.907532	0.85242486	0.7976438	0.81639284	0.8317676	0.7853114	0.86630684	0.91764945	0.6724981	0.8159499	0.9002486	0.8435159	0.86178136	0.89447033	0.87263095	0.8563343	0.8777201	0.83671343	0.90722597	0.92421055	0.92765146	0.84231675
parkoers/noun	0.77536	0.8107513	0.8203008	0.7474552	0.86253107	0.8078278	0.8475088	0.91632	0.86510277	0.8994313	0.80974066	0.8978065	0.8457408	0.8094105	0.7716136	0.83478993	0.8733309	0.7864208	0.6135694	0.8502183	0.86714464	0.8835314	0.8265133	0.90969855	0.8034052	0.8845336	0.8049567	0.89126027	0.8255094	0.0	0.82997686	0.8037474	0.8268433	0.78416	0.88627654	0.9187461	0.8408249	0.7545097	0.8895785	0.85139424	0.8583374	0.8493436	0.83789325	0.84574234	0.8147306	0.83743477	0.83053863	0.88518095	0.8628385	0.86414915	0.8424408	0.8204363	0.8625355	0.824208	0.848662	0.8978684	0.79703295	0.8625885	0.7850486	0.9027979	0.6829344	0.771127
even/adj	0.8002376	0.574368	0.8863462	0.74810004	0.71267843	0.79310906	0.7044004	0.9195817	0.83283883	0.8936767	0.596563	0.8973797	0.64421713	0.83479047	0.70688665	0.86773497	0.8362454	0.8868586	0.83841586	0.9106175	0.8871239	0.76509994	0.866951	0.87068284	0.8462332	0.9135499	0.8686389	0.9402864	0.8977147	0.82997686	0.0	0.86123717	0.8619888	0.8184669	0.8843796	0.8871272	0.8876379	0.77354425	0.8331392	0.8652916	0.89494663	0.8146051	0.63112605	0.76476073	0.52173567	0.94222224	0.7275847	0.84388214	0.89046985	0.86473095	0.88616204	0.8488125	0.88286656	0.8037504	0.8920809	0.9024865	0.5883188	0.73561025	0.88878405	0.91585404	0.904413	0.8721314
situatie/noun	0.7057979	0.76838684	0.8190869	0.8996694	0.6897727	0.7787723	0.78032184	0.88653207	0.81177646	0.8124668	0.722075	0.67298496	0.8114073	0.8202741	0.7898961	0.8622474	0.6719102	0.67237234	0.8864008	0.6335309	0.78176206	0.7564496	0.8953438	0.8283479	0.850366	0.8627953	0.86671245	0.8108265	0.865566	0.8037474	0.86123717	0.0	0.7307528	0.86063427	0.7303365	0.8031474	0.32101673	0.80320823	0.72124726	0.79832065	0.85138667	0.7353429	0.7371093	0.72389364	0.78958666	0.8850206	0.75469977	0.8882317	0.90493155	0.82646734	0.7568934	0.8643331	0.80954885	0.8867068	0.9335013	0.9205289	0.8204334	0.7951099	0.831597	0.6389657	0.96462125	0.45807862
