	36-jarige/adj	Amerikaans/adj	Amsterdams/adj	Champions/noun	aan/adj	aandeel_beurs/noun	afgelopen/adj	alles/noun	allicht/adv	autonomie/noun	balans/noun	ben/verb	beurs_fonds/noun	bevolking_groep/noun	bezoeker/noun	bilateraal/adj	blessure/noun	blijk/verb	breuk/noun	cabaretier/noun	consumentenvertrouwen/noun	contact/noun	contract_uur/noun	dak/noun	democratie/noun	dien/verb	doelman/noun	echter/adv	economie/noun	eer/noun	effect_beurs/noun	electrisch/adj	enigszins/adv	enkel_blessure/noun	ere/noun	euvel/noun	eveneens/adv	eventueel/adj	evenwicht/noun	fiets/noun	fonds/noun	fout_DIM/noun	gebied/noun	gebouw/noun	geheel/adj	geleidelijk/adj	geloof/noun	geloofwaardigheid/noun	gemeente/noun	geraakt/adj	geschonden/adj	gezag/noun	gezondheid_probleem/noun	gisteren/adv	gisterenavond/adv	glorie/noun	goed/adj	golfer/noun	griep/noun	griep_aanval/noun	hart_operatie/noun	helemaal/adv	help/verb	help_mee/verb	herneem/verb	iets/adv	ingreep/noun	installatie/noun	intussen/adv	kan/verb	kerk_toren/noun	kiezer/noun	kliniek/noun	knie_operatie/noun	koers_val/noun	kom_terug/verb	kosten/noun	kraan/noun	krachtig/adj	kwetsuur/noun	laat/adj	laat/verb	land/noun	leiding/noun	letsel/noun	lever/noun	lever_in/verb	licht/adj	lies_blessure/noun	lijk/verb	maand/noun	markt/noun	mede/adv	meer/adv	meteen/adv	middag/noun	middenvelder/noun	misstap/noun	moet/verb	mogelijk/adj	momenteel/adj	muur/noun	naai/verb	natuur/noun	nauwelijks/adv	net/adv	niet/adv	nodig/adj	nog/adv	norm/noun	normaal/adj	olie_prijs/noun	onafhankelijkheid/noun	onbemand/adj	onderhoud/verb	onmiddellijk/adj	oorspronkelijk/adj	op_doffer/noun	opening_fase/noun	operatie/noun	opereer/verb	opnieuw/adv	orde/noun	oud/adj	paars_wit/adj	pas/adv	pas_aan/verb	patiënt/noun	patiënte/noun	ploeg/noun	politiek/noun	populatie/noun	probeer/verb	redelijk/adj	reliëf/noun	reputatie/noun	rij_richting/noun	rust/noun	samenleving/noun	sars/noun	schade/noun	schouder_blessure/noun	situatie/noun	slecht/adj	sluit_post/noun	snel/adj	spectaculair/adj	spel_maker/noun	staat/noun	stijl/noun	strand/verb	systeem/noun	termijn/noun	terug/adv	thuis/adv	thuisploeg/noun	tijd/noun	tijdelijk/adj	tijdig/adj	toestand/noun	traditie/noun	trauma/noun	val_partij/noun	vanmiddag/adv	vanochtend/adv	vanzelf/adv	veerkrachtig/adj	veiligheid/noun	verbeter/verb	verbetering/noun	vergeef/verb	vertrouwen/noun	vervolgens/adv	voet_blessure/noun	voldoende/adj	voldoende/adv	volk/noun	volledig/adj	voorlopig/adj	vrijwel/adv	waarschijnlijk/adj	wat/adv	water_kanon/noun	water_kwaliteit/noun	weeg/verb	weer/adv	wegdek/noun	wereld_gemeenschap/noun	wil/verb	winstwaarschuwing/noun	wonderbaarlijk/adj	woning/noun	word/verb	zal/verb	ziekenhuis/noun	ziekte/noun	zodanig/adj	zuiverheid/noun
normaal/adj	0.90238214	0.92642903	0.81016135	0.93371993	0.89949995	0.78268516	0.8499255	0.6634379	0.72558093	0.84497386	0.78819174	0.535831	0.8925282	0.7830764	0.8921024	0.8128282	0.7985792	0.7046927	0.8718559	0.93063074	0.8933231	0.8035922	0.88302845	0.9681317	0.76737434	0.66547334	0.90224326	0.7199705	0.8429562	0.9730332	0.88727313	0.9385988	0.7293291	0.76389015	0.95846444	0.67801046	0.7955738	0.8448525	0.74030906	0.83938503	0.8436054	0.8979908	0.76229066	0.9162051	0.6944127	0.77608657	0.872932	0.8897975	0.8750571	0.8890844	0.8567685	0.87698174	0.72144663	0.8917793	0.90820974	0.9745879	0.6255132	0.90428084	0.7338263	0.7542938	0.7157116	0.8069018	0.64144254	0.84428465	0.7787384	0.79475963	0.6927618	0.9175331	0.61163116	0.6477201	0.96174043	0.81120944	0.76686025	0.7264116	0.9516611	0.833345	0.6775359	0.8690881	0.7885413	0.7759892	0.84998333	0.8252914	0.7786964	0.94686687	0.7908887	0.746498	0.91612506	0.7737569	0.74154407	0.53677225	0.9296244	0.8270289	0.80602485	0.72124875	0.8237529	0.8445389	0.8292989	0.8538616	0.6965099	0.61800855	0.68638587	0.9924095	0.87519693	0.82209086	0.689985	0.8450268	0.71600175	0.7160413	0.64645255	0.72974193	0.0	0.8480619	0.8991995	0.8994041	0.78611714	0.8358675	0.86809975	0.8861154	0.8488147	0.67864084	0.67192787	0.7079929	0.8032632	0.88856715	0.78044444	0.7811337	0.72086346	0.6390461	0.84466076	0.9137279	0.84029245	0.55166173	0.77723706	0.53370917	0.89633805	0.94428605	0.73999214	0.8539649	0.7264848	0.75765014	0.7655815	0.7671588	0.7838343	0.76152945	0.8229739	0.54781026	0.73767376	0.81478477	0.8017653	0.9428155	0.94123393	0.8474878	0.5702611	0.7893066	0.6903001	0.88255936	0.709123	0.7367027	0.59878635	0.7371242	0.90112925	0.75230455	0.88710946	0.7628343	0.8208716	0.5540283	0.8522728	0.8072401	0.64139557	0.75889176	0.8283038	0.876959	0.84163415	0.8119788	0.57635474	0.77396154	0.86785924	0.7535784	0.78376293	0.72380334	0.65938413	0.75827134	0.9321195	0.84130543	0.7733234	0.701036	0.8390552	0.8791621	0.84892	0.88823414	0.9003416	0.96044576	0.708858	0.6930588	0.8026963	0.6885447	0.71972257	0.9200016
olie_prijs/noun	0.8953741	0.5436797	0.6227255	0.8915123	0.8017969	0.46137875	0.46908063	0.9568497	0.82506114	0.913702	0.7855115	0.78447807	0.5689038	0.9488381	0.9619123	0.9507563	0.825118	0.7071146	0.9343749	0.98184556	0.34627616	0.9559385	0.8115475	0.930582	0.8595475	0.8795457	0.95978886	0.76299655	0.45492727	0.97551894	0.39601558	0.89598227	0.7984784	0.81932354	0.97679675	0.7752337	0.5342657	0.9026105	0.8249489	0.91874784	0.36727983	0.94639325	0.96387184	0.90654874	0.8948411	0.7754953	0.9002267	0.91928375	0.87889135	0.8926052	0.8226035	0.95009327	0.86882764	0.51111585	0.9385401	0.9802705	0.82362604	0.94766957	0.8691932	0.8623018	0.8317924	0.9627279	0.7590766	0.6581763	0.71915805	0.5179452	0.8100831	0.8908642	0.79559517	0.82154214	0.9564829	0.9438389	0.9612707	0.85367614	0.38435102	0.8950228	0.7760949	0.85691804	0.70839024	0.8463281	0.7868169	0.87865233	0.84754384	0.9042959	0.86309254	0.9164207	0.606367	0.6395201	0.79242146	0.7326755	0.49312913	0.46819526	0.6148472	0.9283294	0.8596414	0.8222581	0.9259037	0.9724058	0.72765064	0.8351149	0.76289576	0.96096605	0.9994883	0.8548813	0.70289695	0.9318813	0.90045226	0.8833285	0.7707366	0.9511091	0.8480619	0.0	0.9425356	0.87505347	0.94377685	0.85919863	0.9819775	0.88960934	0.8889688	0.8820943	0.8739147	0.6173657	0.89869076	0.9009125	0.9035677	0.8486097	0.86561173	0.8981168	0.92862976	0.9555573	0.8548353	0.86456203	0.93277353	0.6403932	0.9268532	0.9184236	0.93907994	0.94811755	0.8798266	0.87322426	0.8219011	0.88148457	0.83929384	0.7323928	0.90734744	0.70839787	0.71541035	0.83930826	0.8715488	0.8864742	0.9461098	0.8484568	0.61892235	0.9034914	0.8367252	0.9104279	0.7352176	0.73403907	0.8652807	0.8306503	0.96849316	0.93019956	0.926994	0.64526093	0.42490208	0.8856519	0.7391827	0.8980145	0.6075001	0.5723939	0.9628862	0.7436326	0.90931165	0.8317044	0.8146236	0.8549258	0.9392332	0.9089501	0.8282677	0.7185503	0.6752087	0.7041588	0.9376565	0.8652878	0.3729372	0.6446917	0.9069991	0.8418609	0.7788974	0.32570946	0.67865026	0.93419296	0.806569	0.6278697	0.9308244	0.96252865	0.79349834	0.9456653
onafhankelijkheid/noun	0.9706056	0.7941944	0.868575	0.9666412	0.9182807	0.93538177	0.9730046	0.90928435	0.9249959	0.25099987	0.8770774	0.8710445	0.8774709	0.5579303	0.9719938	0.77186555	0.94270426	0.9253843	0.8163871	0.98418903	0.9676686	0.9216674	0.96111405	0.9291747	0.4848404	0.7421286	0.9635918	0.8505032	0.85842764	0.8641077	0.9135736	0.9294789	0.9223426	0.93976796	0.8820556	0.91747487	0.9134453	0.89875877	0.79360443	0.97728604	0.9065539	0.94086677	0.49152642	0.8790442	0.74392784	0.7719243	0.54644585	0.5442984	0.60940963	0.88574743	0.63764095	0.410596	0.9208353	0.9534785	0.74242663	0.874112	0.88798916	0.98633593	0.99081314	0.8276969	0.9162558	0.94796985	0.8018162	0.8870953	0.9107441	0.94679964	0.85863495	0.92032397	0.86126035	0.8678282	0.9709541	0.7431265	0.8924935	0.92477864	0.9439622	0.94543356	0.8447852	0.97045505	0.8405788	0.9134056	0.9579625	0.8772026	0.6703813	0.9217498	0.8918353	0.93075144	0.6905252	0.9787669	0.9187996	0.91736346	0.96889883	0.82014966	0.89453936	0.9093505	0.85196304	0.9459136	0.9616053	0.876231	0.7767468	0.80489916	0.9063094	0.97105557	0.9566685	0.8716594	0.8729335	0.95202005	0.8946876	0.80883086	0.9156489	0.82133573	0.8991995	0.9425356	0.0	0.9403451	0.8690344	0.8308744	0.7429695	0.9306373	0.9472122	0.81194365	0.81980836	0.84000003	0.8457407	0.92313176	0.89646715	0.9059291	0.8715478	0.77539253	0.98556995	0.91953146	0.5437839	0.8524119	0.88099384	0.77979416	0.948175	0.7228321	0.89522237	0.9097265	0.74084896	0.8894188	0.8215287	0.9284268	0.8914741	0.82020676	0.8854117	0.92641115	0.9633168	0.96556574	0.5934222	0.92603195	0.9478852	0.79666144	0.78334934	0.9211606	0.9894855	0.9403404	0.9815569	0.8404384	0.8589035	0.8926453	0.7685142	0.78902555	0.96209615	0.9120406	0.9121913	0.83451927	0.90403557	0.8011775	0.8556837	0.90160376	0.8897014	0.72104776	0.927236	0.9303627	0.8193291	0.9323601	0.48317146	0.63069385	0.9113925	0.7276715	0.8820585	0.88579035	0.9608523	0.9310904	0.89969975	0.9009024	0.8530596	0.779566	0.6898718	0.95298487	0.9272715	0.86787784	0.8509793	0.69590354	0.9749173	0.91880167	0.7777002	0.51714736
onbemand/adj	0.98750293	0.798194	0.9885489	1.0	0.9332668	0.84265155	0.96618325	0.94375247	0.9273522	0.9438518	0.90057635	0.9053783	0.85719085	0.9864054	0.92189026	0.9183312	0.9086803	0.9206232	0.91485703	0.9499755	0.89883715	0.9306815	0.9340501	0.6635575	0.9314511	0.8244867	0.9672631	0.88303685	0.8791258	0.98743993	0.8854941	0.61003256	0.9946597	0.9095111	0.97134167	0.82283974	0.8295691	0.7094065	0.9575685	0.84339064	0.9158127	0.9229843	0.9499027	0.7899631	0.9008311	0.9486256	0.98955935	0.93252105	0.81448436	0.6489074	0.9588525	0.9372607	0.8099425	0.863806	0.81410885	0.9959769	0.9550841	0.8551628	0.97011936	0.9255374	0.8890883	0.94038004	0.89254105	0.7958981	0.95431507	0.8635397	0.7866	0.52825963	0.91914225	0.8881721	0.9080563	0.9302353	0.8810607	0.9190932	0.92017084	0.9837772	0.66167736	0.41792965	0.83189416	0.925164	0.93898267	0.75508237	0.97147113	0.5696609	0.92046964	0.924167	0.93905735	0.8469111	0.92189926	0.9103101	0.95482564	0.88041914	0.93816704	0.9244973	0.894762	0.8941126	0.97555315	0.898433	0.7970227	0.84401757	0.84176147	0.91045475	0.9595662	0.98985267	0.9617266	0.9686309	0.9056496	0.6999124	0.84694123	0.9150531	0.8994041	0.87505347	0.9403451	0.0	0.8496984	0.86144876	0.9436961	0.9867041	0.9729685	0.77965164	0.9133975	0.9081108	0.8121414	0.9036482	0.96570885	0.91103804	0.7994108	0.9241491	0.9424319	0.9778528	0.9332894	0.9651959	0.7901117	0.9339137	0.8261933	0.99336624	0.7879118	0.96158755	0.94739556	0.9292654	0.7473342	0.9223607	0.94363195	0.8719371	0.8977941	0.91614187	0.8963962	0.9308895	0.77949476	0.9581646	0.95962197	0.7144443	0.8283068	0.9567632	0.97146726	0.97128797	0.9212718	0.6511905	0.89957917	0.8469094	0.9768058	0.96005464	0.9013214	0.9004575	0.66810143	0.9135281	0.9451351	0.87970376	0.8885022	0.8206509	0.958662	0.9577547	0.84797686	0.9306759	0.81234795	0.9176767	0.9097081	0.7538104	0.741524	0.9052815	0.84285796	0.9203797	0.55372334	0.86615884	0.7923139	0.94828504	0.70037705	0.85778475	0.8617522	0.90546495	0.9599214	0.87320936	0.69899726	0.78370917	0.93388975	0.9561735	0.894691	0.96853745
onderhoud/verb	0.93944144	0.8836432	0.91228485	0.996633	0.9538708	0.88825697	0.92131865	0.83094764	0.8222773	0.8449271	0.8456742	0.8197895	0.9095519	0.7251272	0.9270865	0.58508843	0.93446064	0.91073185	0.90270764	0.9355116	0.9266083	0.5679568	0.98108596	0.73719805	0.8462761	0.694946	0.9345075	0.9320979	0.8515614	0.9626516	0.9549576	0.7296835	0.9414395	0.9178128	0.90767914	0.91550624	0.7800517	0.7892538	0.81294525	0.8152271	0.9086703	0.95230854	0.87205166	0.71162957	0.8542774	0.93380004	0.82327694	0.89630413	0.7068416	0.8956551	0.94135416	0.81549543	0.89659625	0.9577184	0.8966133	0.9408084	0.71137106	0.85523355	0.9476652	0.93090695	0.95280063	0.8809881	0.80527693	0.8385501	0.8286716	0.89260274	0.87126404	0.7608446	0.72985315	0.7671225	0.72591424	0.8162305	0.88004756	0.9210007	0.960557	0.9509488	0.79325116	0.85105956	0.7807454	0.9318544	0.9626925	0.87011784	0.66779995	0.87396544	0.93915635	0.9052182	0.9489842	0.91948986	0.9511304	0.8599126	0.98575675	0.8730228	0.84457475	0.8015795	0.8455577	0.91506404	0.9700043	0.97726554	0.83049643	0.7501174	0.7843325	0.8202702	0.7768513	0.7515216	0.76114285	0.90268797	0.85882497	0.8706769	0.79209685	0.81695336	0.78611714	0.94377685	0.8690344	0.8496984	0.0	0.7704122	0.7191423	0.97277653	0.9243269	0.8846153	0.8247176	0.8271066	0.89545596	0.80377007	0.82707095	0.9720648	0.73191714	0.83276236	0.97971255	0.8515731	0.84076005	0.8741133	0.70590216	0.85414666	0.87411517	0.80476993	0.89292586	0.92675	0.838891	0.95359236	0.67079735	0.9172115	0.81972295	0.7755496	0.89197636	0.8891516	0.85733914	0.95080364	0.62237644	0.86007136	0.9692631	0.77812827	0.8475498	0.8712585	0.94615626	0.9491509	0.8795837	0.8117243	0.8430081	0.7238211	0.8800757	0.92201257	0.8536959	0.9035562	0.9505757	0.84656715	0.93433344	0.8043598	0.712144	0.8102974	0.96484894	0.9346262	0.730414	0.9223845	0.8777486	0.94104284	0.788483	0.7000787	0.87842727	0.86679834	0.8985239	0.8807119	0.945156	0.75248694	0.85134405	0.9003592	0.70481884	0.8668974	0.8268083	0.9350782	0.8480639	0.7670756	0.78224474	0.81452465	0.902415	0.93787885	0.86357296	0.80288804
onmiddellijk/adj	0.8669098	0.921631	0.6512347	0.95551443	0.94365937	0.87863004	0.91275024	0.7770828	0.75360715	0.7666521	0.90457535	0.84210163	0.6416966	0.9032848	0.7870325	0.7269984	0.91100156	0.8545104	0.79099464	0.9488089	0.8313581	0.94094586	0.80996984	0.86056185	0.7954255	0.64490867	0.7304343	0.6515708	0.930561	0.79127073	0.7085973	0.78811485	0.7174196	0.88232577	0.9214346	0.78514135	0.6049799	0.668781	0.7743286	0.96246195	0.56897444	0.64111507	0.7564515	0.82382137	0.7983265	0.7953541	0.81962466	0.7554902	0.84898925	0.856655	0.9647537	0.7687739	0.85795915	0.7152815	0.72199297	0.9720045	0.84359396	0.85347533	0.9425509	0.96101207	0.7044641	0.78596026	0.8057812	0.85593796	0.8841764	0.83065706	0.69191253	0.80967945	0.7076441	0.5809667	0.95238644	0.75526124	0.6481942	0.8398355	0.9020278	0.82147753	0.74367213	0.7732909	0.7912623	0.85824203	0.8530167	0.69892526	0.8382697	0.7820299	0.77976996	0.81238884	0.73942244	0.79105055	0.8820655	0.8401595	0.8978896	0.7820785	0.8369368	0.72001094	0.24845976	0.8456018	0.7893535	0.7405517	0.43782717	0.6871016	0.84038556	0.88049716	0.78264093	0.78551334	0.7203305	0.8836082	0.8340312	0.7339065	0.7939106	0.7488551	0.8358675	0.85919863	0.8308744	0.86144876	0.7704122	0.0	0.7876068	0.7322129	0.81369835	0.634005	0.71804655	0.6200193	0.8407353	0.8895555	0.7108537	0.8467513	0.7820178	0.6755878	0.88990843	0.8436715	0.8450878	0.93424135	0.7139038	0.8877736	0.8514659	0.8165146	0.8371201	0.7493447	0.81046116	0.9155507	0.79988694	0.8291113	0.8334053	0.95803016	0.8881318	0.6630628	0.73962265	0.75881946	0.8907375	0.83876127	0.88782054	0.80688584	0.76878464	0.8576532	0.88418263	0.8725689	0.89941543	0.5637038	0.62131524	0.72665596	0.8534826	0.8408976	0.8927003	0.63506407	0.6806678	0.78721887	0.939206	0.743762	0.78568363	0.8768833	0.69605994	0.7819371	0.6193485	0.8137411	0.7578839	0.8610723	0.7879856	0.7352669	0.78081846	0.8991392	0.74326086	0.76648355	0.7948893	0.8831509	0.89168215	0.70508313	0.76851636	0.8311918	0.8501542	0.8071931	0.87692106	0.8671651	0.60315216	0.67509496	0.72812414	0.93588495	0.7240984	0.88387156
oorspronkelijk/adj	0.95889044	0.79686546	0.86180073	0.9334178	0.91862774	0.98280513	0.9398569	0.8692782	0.9314167	0.6814592	0.8236003	0.8857741	0.9519133	0.7818048	0.9411295	0.8678125	0.9531288	0.8946687	0.9003712	0.95809907	0.9322926	0.850985	0.9959147	0.79805267	0.789914	0.6089265	0.9389719	0.91190857	0.8874112	0.6876248	0.9809772	0.9401132	0.7292244	0.9656777	0.5889967	0.9269884	0.8014586	0.8665613	0.68163633	0.95574546	0.9321644	0.9138807	0.5721086	0.5920416	0.56081176	0.78472835	0.60930896	0.8027696	0.8157481	0.7454864	0.935325	0.7851492	0.9423699	0.9747472	0.90173095	0.658849	0.9283968	0.9279795	0.98802215	0.9679506	0.9726911	0.7718215	0.91015905	0.93369937	0.8432083	0.80065787	0.83832955	0.796211	0.77556705	0.89208436	0.83677393	0.801061	0.96421695	0.94762343	0.9739361	0.8902186	0.8638176	0.91354775	0.6633071	0.94685733	0.9139418	0.90953547	0.75568014	0.96424794	0.9786579	0.9637505	0.97674286	0.8763837	0.9774009	0.909767	0.98200506	0.8925095	0.7988044	0.90983546	0.9539666	0.91773975	0.9631594	0.97039396	0.8119135	0.84007955	0.8690051	0.65489566	0.8700111	0.5804083	0.82770336	0.9143014	0.9287474	0.86064917	0.933268	0.6494976	0.86809975	0.9819775	0.7429695	0.9436961	0.7191423	0.7876068	0.0	0.9652355	0.98986465	0.91403246	0.85572326	0.7955321	0.93014413	0.45973235	0.97960234	0.9088788	0.7467376	0.96468824	0.99489594	0.96258414	0.7706749	0.7257055	0.8261682	0.8253216	0.6764832	0.7583085	0.8480475	0.88633144	0.707034	0.95500433	0.76783454	0.9526513	0.89192533	0.78802896	0.8899378	0.8295704	0.7538075	0.9515503	0.6261188	0.71900994	0.97458345	0.82810754	0.8840701	0.7691804	0.9759266	0.954718	0.89911973	0.8163891	0.80548257	0.78837353	0.5734205	0.89971274	0.9805626	0.76111364	0.9340448	0.65215665	0.8761574	0.8140798	0.80166054	0.9132468	0.9439709	0.8344643	0.7537259	0.98799	0.7955261	0.9423514	0.65336984	0.69578	0.8431417	0.70739007	0.8037699	0.7105996	0.98678064	0.9364934	0.89067626	0.69955593	0.6700958	0.79373956	0.8196951	0.9962086	0.819594	0.78377527	0.7222482	0.8539615	0.98569876	0.90195036	0.6642575	0.6556518
op_doffer/noun	0.8563864	0.97899437	0.8895936	0.8469951	0.698442	0.8911563	0.9321884	0.86939496	0.82847416	0.89021325	0.78139275	0.8663567	0.8504316	0.85433316	0.2558636	0.9216056	0.7795797	0.8132727	0.9068663	0.9927188	0.94263184	0.9404994	0.7093779	0.9758899	0.91238844	0.9077397	0.44002086	0.49499464	0.8303641	0.8085169	0.79775596	0.9810774	0.6906928	0.72769356	0.9482261	0.7266743	0.8821505	0.95866305	0.47009838	0.9516648	0.87943584	0.47633624	0.9187274	0.9608453	0.9709288	0.74278605	0.9807233	0.85303336	0.97583467	0.8630469	0.8773527	0.9230571	0.9569387	0.950936	0.9277476	0.9648636	0.59560513	0.9666262	0.91699594	0.9075318	0.9349098	0.76248634	0.9139037	0.8972683	0.6959617	0.8362287	0.91853267	0.95975536	0.8795644	0.7330036	0.97882366	0.8889933	0.99304014	0.8077265	0.88033336	0.53078055	0.9210309	0.95926225	0.8379777	0.74663746	0.8296173	0.5531292	0.93860567	0.838866	0.9025226	0.85555625	0.9434098	0.8045459	0.75153875	0.72646	0.9454845	0.8485701	0.9213067	0.8200872	0.51541585	0.7760372	0.7794163	0.7217412	0.78518486	0.79278576	0.9231445	0.953699	0.95345813	0.7838026	0.72601986	0.66018534	0.8368937	0.84343266	0.66849387	0.95772487	0.8861154	0.88960934	0.9306373	0.9867041	0.97277653	0.7322129	0.9652355	0.0	0.40827876	0.94856954	0.9624132	0.578794	0.6958797	0.9708409	0.46838945	0.7105273	0.8508465	0.90905946	0.9907017	0.62101674	0.9329106	0.7428765	0.73708284	0.8068442	0.92219794	0.8908917	0.9818355	0.3125711	0.9287194	0.9626057	0.87949926	0.7956645	0.87249404	0.859429	0.88002306	0.7622154	0.9027591	0.5315906	0.94817024	0.9513855	0.56527364	0.8319446	0.8930777	0.7111056	0.94504654	0.34354436	0.80862063	0.9383911	0.8896481	0.9362802	0.9517954	0.9418287	0.907913	0.8083575	0.843812	0.8686493	0.8395348	0.8251082	0.8479429	0.8430767	0.8926352	0.76800716	0.7571156	0.7607027	0.8082552	0.9258692	0.9835927	0.85217166	0.8534936	0.874844	0.8290989	0.71673864	0.9016687	0.9027622	0.9349466	0.6846187	0.91689956	0.9571465	0.9002787	0.92518115	0.78771544	0.95213443	0.8778994	0.7875214	0.98060304	0.9678782	0.8971102	0.8654052
opening_fase/noun	0.81667113	0.97071046	0.94416326	0.82869345	0.97261614	0.800444	0.8630691	0.91222095	0.8762446	0.9335289	0.8510073	0.78214836	0.8663554	0.93604183	0.5093235	0.9454259	0.8360474	0.9259031	0.95411247	0.9910449	0.9034163	0.9578694	0.7659736	0.8854556	0.9377298	0.8947525	0.43371743	0.56922543	0.8853062	0.85406315	0.8756277	0.9617701	0.7840499	0.8140255	0.99133193	0.6674018	0.8839685	0.92413366	0.6281761	0.97464335	0.90121037	0.49963284	0.9676407	0.84795886	0.9678273	0.8830769	0.9860608	0.94438255	0.95959806	0.92228013	0.88310206	0.9733076	0.96997976	0.9207119	0.8276881	0.93385345	0.6084328	0.9173418	0.94991183	0.9063284	0.94835925	0.78568	0.9669615	0.9835418	0.7709719	0.87566704	0.82593507	0.8906133	0.86392164	0.7378119	0.95851594	0.9351857	0.96770704	0.7607283	0.7935727	0.68303335	0.9396721	0.8856156	0.91643953	0.8176055	0.88782716	0.6643913	0.9950786	0.85885334	0.8902282	0.8627902	0.89857227	0.8802725	0.75487244	0.7183609	0.97608143	0.91148657	0.8608509	0.9063332	0.56519353	0.96721405	0.7741102	0.7900348	0.9285159	0.9041905	0.83641756	0.9104161	0.95297205	0.8442497	0.7389695	0.8099468	0.81368285	0.9054102	0.7320288	0.9652879	0.8488147	0.8889688	0.9472122	0.9729685	0.9243269	0.81369835	0.98986465	0.40827876	0.0	0.8723222	0.85765254	0.7291567	0.80219436	0.99977064	0.54347795	0.87265337	0.9429634	0.9085601	0.9948258	0.7098914	0.9935443	0.84529173	0.86183834	0.7570027	0.9866808	0.8651929	0.9570372	0.3994701	0.95178306	0.9785142	0.91324466	0.83655405	0.8791781	0.8790003	0.81003165	0.7806195	0.7594668	0.6502526	0.9149567	0.86235535	0.5618051	0.9233942	0.8055961	0.80746007	0.91239524	0.53417903	0.86411047	0.9878931	0.9425602	0.91790915	0.9863944	0.9395168	0.79269004	0.9899417	0.90772027	0.9631215	0.9190463	0.92912227	0.8885051	0.8373459	0.9557593	0.8269083	0.8488353	0.7983115	0.86114156	0.94231445	0.96632266	0.8881314	0.8260002	0.81503505	0.9384827	0.8448634	0.9696045	0.7915673	0.9759468	0.8800772	0.8512049	0.9219725	0.94279814	0.9341679	0.8571466	0.8832295	0.9318807	0.9195051	0.9586884	0.9830247	0.9532264	0.9465627
operatie/noun	0.91630477	0.83767486	0.84587103	0.9578404	0.8868563	0.84903336	0.7808635	0.8640332	0.6899723	0.8289541	0.93635595	0.6802286	0.7647426	0.8859918	0.910157	0.90027565	0.7617649	0.6380493	0.6033386	0.90648	0.85331094	0.86261004	0.8266925	0.9622207	0.8355031	0.6552501	0.8387098	0.715461	0.8916418	0.8815586	0.91638774	0.83206856	0.843227	0.7512152	0.95961624	0.65273356	0.8142839	0.6667919	0.9002733	0.9468026	0.8076291	0.9242392	0.80778015	0.8965613	0.7271706	0.8309578	0.9343029	0.69232374	0.8586205	0.7199087	0.82410866	0.6945226	0.49340516	0.84380054	0.75236404	0.96865857	0.91561306	0.65957665	0.8146019	0.77085185	0.37129998	0.81078076	0.52738434	0.89939636	0.74382174	0.84267133	0.30341876	0.8565567	0.7167369	0.6537937	0.9724238	0.8271204	0.3741362	0.57037914	0.861743	0.7220225	0.5636518	0.76644206	0.7744122	0.7180537	0.8214065	0.78810704	0.8660534	0.7986745	0.5208123	0.5588896	0.9121702	0.6632536	0.7343508	0.7061075	0.7731035	0.7948383	0.68955946	0.76447886	0.7229138	0.8990217	0.7341857	0.82069373	0.5534066	0.6266436	0.6209059	0.9809623	0.81421	0.8610517	0.77957845	0.8400299	0.7737546	0.51783025	0.78426343	0.9144182	0.67864084	0.8820943	0.81194365	0.77965164	0.8846153	0.634005	0.91403246	0.94856954	0.8723222	0.0	0.35796964	0.7181028	0.9056725	0.89517146	0.8583312	0.6714351	0.8256399	0.36476886	0.54613817	0.84161675	0.81644404	0.79511523	0.7825806	0.7403629	0.83875525	0.8272236	0.77587163	0.8593185	0.87999564	0.7090438	0.68059075	0.7275046	0.8109197	0.91949904	0.86089087	0.7379289	0.72094333	0.81959295	0.8755857	0.8251673	0.9552643	0.79671973	0.59173334	0.7647094	0.73826444	0.90924275	0.74797434	0.60736597	0.5947277	0.5819432	0.89341706	0.67030394	0.6611787	0.78145874	0.87800026	0.8515128	0.89708984	0.80868024	0.71466696	0.75978327	0.9195852	0.74312854	0.7479291	0.7306818	0.71192926	0.58565766	0.89682007	0.70374435	0.71871054	0.8605828	0.62435937	0.8061531	0.77860755	0.88020796	0.865992	0.76602113	0.84051204	0.8710841	0.8658481	0.9218406	0.80986154	0.9318421	0.61902106	0.5907115	0.3812449	0.606423	0.74036777	0.9441853
