	Al/det	Belgisch/adj	Francesco/name	afloop/noun	al/adv	alle/det	alles/noun	ballast/noun	beetje/noun	bel_af/verb	belangstellende/noun	ben/verb	benzine/noun	besta/verb	beterschap/noun	bevat/verb	bevrediging/noun	bied/verb	blijf/verb	blijk/verb	boodschap/noun	breng/verb	conflict/noun	daarmee/pp	dag/noun	de/det	die/det	ding/noun	doe/verb	droom/noun	druk_in/verb	druk_uit/verb	een/det	einde/noun	ellende/noun	en/vg	enig/adj	enig/det	ervaring/noun	flauw/adj	geduld/noun	geef/verb	geef_op/verb	geef_uit/verb	geen/det	geld/noun	gelijkmaker/noun	geloof/noun	geluk/noun	gelul/verb	genees_middel/noun	genezing/noun	gezeur/noun	gloor/verb	goed/adj	gooi/verb	groei/verb	groot/adj	haar/det	heb/verb	heb_op/verb	heel/adj	hele/adj	herstel/noun	herstructurering/noun	horizon/noun	hulpverlener/noun	hun/det	ijdel/adj	in/prep	in/verb	incasseringsvermogen/noun	injecteer/verb	inspireer/adj	kabaal/noun	kennis/noun	kind_DIM/noun	koers_stijging/noun	koester/verb	koop/verb	krijg/verb	laat/adj	laat/verb	leef_op/verb	leer/verb	leven_DIM/noun	licht_DIM/noun	liefde/noun	lig/verb	lijk/verb	loop_mis/verb	loot/noun	materiaal/noun	meer/det	mens/noun	mijn/det	nauwelijks/det	nieuw/adj	ondanks/prep	ons/det	ontleen/verb	ontneem/verb	onzin/noun	op/prep	oppositie/noun	overlast/noun	overleving/noun	pelgrim/noun	plaats_DIM/noun	poen/noun	pril/adj	puin/noun	put/verb	rechtvaardig/verb	redding/noun	renner/noun	rente/noun	reëel/adj	rijs/verb	rommel/noun	rotzooi/noun	rumoer/noun	rust/noun	scheel/verb	schenk/verb	schep/verb	schiet_af/verb	slordig/adj	solidariteit/noun	sprankje/noun	spreek_uit/verb	staal/noun	staar/verb	stang/noun	stel/verb	sterf/verb	sterk/verb	stil/adj	teken/noun	telefoon_gesprek/noun	terug_match/noun	tijd/noun	toekomst/noun	toepassing/noun	troost/noun	tussen/prep	uit_weg/noun	vaag/adj	vals/adj	veeg/verb	veel/adj	veel/det	verandering/noun	verbetering/noun	verdriet/noun	verg/verb	verlies/verb	verlossing/noun	vertrouwen/noun	verwachting/noun	vestig/verb	vod/noun	voor/prep	vooral/adv	vrede/noun	vrede_regeling/noun	vrees/noun	vreugde/noun	vurig/adj	waai_over/verb	waarheid/noun	wanhoop/noun	wat/det	weer/adv	weinig/adj	weinig/det	wek_op/verb	werk/noun	zegen/noun	zet/verb	zie_tegemoet/verb	zijn/det	zonder/prep	één/num
enig/adj	0.843287	0.8024658	0.9145413	0.8816835	0.8901548	0.7090492	0.90321195	0.9485595	0.85597867	0.94514245	0.9146219	0.7304223	0.9251476	0.7670667	0.9239464	0.8259336	0.9400604	0.7467227	0.8094838	0.8242567	0.8668166	0.8669294	0.8419802	0.794634	0.91596	0.7503713	0.79535913	0.8790704	0.92678106	0.8620369	0.9071357	0.8915939	0.7481662	0.8840446	0.8673737	0.76968735	0.0	0.68903047	0.8569984	0.8945255	0.90260905	0.8282922	0.82133746	0.8709867	0.6965289	0.887604	0.9074101	0.80791116	0.87158626	0.9289	0.89046013	0.9318925	0.93637645	0.8962667	0.8342594	0.88309765	0.857367	0.7783242	0.8215248	0.82369506	0.8849747	0.85280967	0.93485856	0.86767757	0.9049474	0.9078589	0.8554564	0.7671167	0.91297865	0.8381401	0.8658992	0.9496355	0.9433584	0.88735807	0.9242572	0.81077266	0.91605735	0.93817437	0.8244369	0.8667568	0.871026	0.8516579	0.9109975	0.90384454	0.861671	0.9501671	0.9339491	0.83953214	0.86996377	0.7771146	0.8972954	0.9507554	0.85375714	0.7931182	0.85187185	0.85090995	0.8103544	0.8270914	0.8015574	0.76027584	0.85641503	0.8228679	0.8685998	0.87203914	0.85807025	0.91094106	0.9339035	0.90948546	0.87648576	0.9330835	0.8736068	0.92068565	0.8666881	0.83831304	0.8739542	0.86485237	0.9342803	0.84769666	0.88090307	0.9449078	0.9262174	0.9222696	0.8957542	0.9043813	0.8406007	0.8257006	0.8947096	0.8925485	0.84704006	0.9319731	0.84756076	0.8966812	0.89315605	0.93659544	0.8725933	0.85671884	0.90090275	0.85539615	0.8521983	0.9159018	0.93846804	0.8655354	0.831483	0.848706	0.8416166	0.8050235	0.8662751	0.8324069	0.85893726	0.89612216	0.8388482	0.7776258	0.86204684	0.8816207	0.89142776	0.8817529	0.81806946	0.9025596	0.86216474	0.8900564	0.8199034	0.95968246	0.75662017	0.79293513	0.83369136	0.9421263	0.85709846	0.89133084	0.9185241	0.91749316	0.8718004	0.88171446	0.82162607	0.8878253	0.7924696	0.7475325	0.8832933	0.8815459	0.87797487	0.8978224	0.9225865	0.8183901	0.74678546	0.72502816
enig/det	0.8458903	0.85742825	0.9268021	0.83231735	0.7889807	0.7313815	0.8580259	0.92176795	0.6963612	0.949925	0.90876573	0.8050215	0.94485056	0.7472889	0.9018634	0.82621354	0.89894015	0.7247048	0.80664694	0.8043873	0.82956386	0.83287954	0.8294033	0.76694924	0.84058255	0.7626187	0.69061863	0.8291983	0.8760419	0.82282096	0.9096472	0.790889	0.7698975	0.88650805	0.8322022	0.68075204	0.68903047	0.0	0.756431	0.85429287	0.79969877	0.72373927	0.831362	0.89090484	0.6050118	0.8869872	0.9080681	0.76224077	0.8366962	0.94741774	0.8807982	0.85580814	0.880764	0.9138591	0.864499	0.87294817	0.7821052	0.698038	0.75519454	0.6865409	0.86594737	0.8376871	0.9279664	0.8227216	0.878307	0.8824926	0.80259925	0.71840346	0.88951397	0.8477632	0.8538089	0.9271425	0.9355893	0.88743114	0.9175483	0.72520775	0.89856887	0.90028554	0.7913027	0.9044627	0.776882	0.86577857	0.83447605	0.90273726	0.8318799	0.9416544	0.89228064	0.73398244	0.88949084	0.775699	0.89587224	0.9446132	0.85376614	0.59745216	0.8023722	0.81933165	0.72926104	0.8516425	0.66930234	0.76280224	0.80222	0.7817075	0.8422745	0.8522049	0.819152	0.8790873	0.91011906	0.8896272	0.892026	0.92403954	0.8246618	0.910391	0.8572389	0.8167948	0.87316304	0.8253202	0.8875134	0.7992101	0.8346656	0.90550166	0.92498285	0.8740133	0.8251352	0.88254106	0.8300284	0.7579442	0.9115386	0.878522	0.7884306	0.8669283	0.7731005	0.90913844	0.88925993	0.95316064	0.84906983	0.84863514	0.877044	0.83076763	0.76244974	0.9039148	0.9601025	0.7944807	0.8228261	0.832405	0.7923347	0.78284776	0.8580693	0.760258	0.80596673	0.8745381	0.6483531	0.61202466	0.78502387	0.8176682	0.81209105	0.7404563	0.7827203	0.89479494	0.7717279	0.8468282	0.88085073	0.96106243	0.762642	0.69886816	0.84316075	0.94026506	0.7903533	0.80791694	0.8694363	0.8994562	0.81753534	0.8157518	0.5970944	0.8206152	0.6432276	0.54298437	0.78395015	0.87143713	0.86886257	0.8831516	0.89930725	0.7342915	0.5888721	0.8543139
ervaring/noun	0.8829911	0.8616005	0.9255693	0.8546094	0.8708276	0.83926344	0.8489961	0.86760676	0.79569894	0.960694	0.91048646	0.7603639	0.9407215	0.8163286	0.9304345	0.8426362	0.9039143	0.81250143	0.8632045	0.8269582	0.8046377	0.87757295	0.8450011	0.85069555	0.89243877	0.8349881	0.7347075	0.7614825	0.88879097	0.7909863	0.92067057	0.8486453	0.76415014	0.87921125	0.81297123	0.74001646	0.8569984	0.756431	0.0	0.8886653	0.83997464	0.843058	0.8791859	0.9017207	0.83718383	0.8821336	0.93279177	0.766642	0.8341363	0.96586585	0.90011644	0.88033867	0.91348934	0.9296028	0.8622675	0.91338116	0.8783733	0.84454006	0.7828448	0.81072307	0.9087779	0.8191656	0.9466453	0.8931463	0.88305914	0.9108358	0.83076423	0.7729522	0.908703	0.8709735	0.87300915	0.8939357	0.92451084	0.83939135	0.91674477	0.60183287	0.9107869	0.91131324	0.8392864	0.94834065	0.9036479	0.91311264	0.89691865	0.8970971	0.7915243	0.9068631	0.9392017	0.74417394	0.9321215	0.79457265	0.9113824	0.96301657	0.820084	0.8044188	0.78360075	0.8186978	0.8577625	0.8811561	0.787269	0.7793814	0.8581621	0.897485	0.85891765	0.85951144	0.904418	0.9129257	0.9141142	0.9381546	0.91823673	0.9590136	0.8472652	0.937207	0.8191445	0.8719013	0.89847475	0.87230444	0.9384083	0.83571	0.88950974	0.9459097	0.9284918	0.88526595	0.87972856	0.8984542	0.87966657	0.81840384	0.95540416	0.884544	0.83500355	0.95117015	0.89263093	0.9071296	0.92176485	0.9521308	0.87802696	0.88154876	0.8771301	0.8455675	0.8333437	0.9047643	0.9453513	0.8718043	0.8494241	0.87426454	0.84359115	0.8714404	0.88945395	0.846592	0.89110684	0.9240929	0.7395551	0.77845985	0.82998097	0.85740817	0.79272324	0.7815554	0.8813079	0.8775447	0.7886146	0.8731389	0.89134383	0.9539814	0.82565373	0.7226079	0.87108684	0.9648837	0.87163866	0.8244177	0.8997045	0.91693294	0.8033709	0.8283828	0.7823969	0.87266874	0.74859446	0.761315	0.8459035	0.82185805	0.8926928	0.93567884	0.9353867	0.7942126	0.8230826	0.8929648
flauw/adj	0.89527255	0.93847567	0.9584647	0.86713433	0.900846	0.8912216	0.8773544	0.9310638	0.72239107	0.97770506	0.9319615	0.8359956	0.94943976	0.89051634	0.9411323	0.85420877	0.9559986	0.900045	0.9059199	0.87942314	0.86671877	0.9213884	0.91041106	0.8937849	0.9329922	0.8735369	0.81979674	0.8644783	0.8901864	0.8690198	0.9475735	0.8798121	0.75245917	0.9031764	0.85416096	0.79340214	0.8945255	0.85429287	0.8886653	0.0	0.9240795	0.9121097	0.9112487	0.93487	0.8111569	0.93362296	0.9407156	0.8980161	0.8756986	0.927232	0.95295393	0.9472457	0.8701536	0.9279258	0.90721524	0.8863859	0.9308306	0.9050502	0.86073756	0.8723416	0.9168802	0.8508947	0.9432709	0.9296093	0.96960765	0.886418	0.9276581	0.87521094	0.86951095	0.9143247	0.89539415	0.97730947	0.9569433	0.89918387	0.91964763	0.9134444	0.92733526	0.963351	0.8925053	0.93782926	0.91335255	0.9020784	0.89958537	0.93617696	0.9365913	0.94369936	0.8865611	0.8551526	0.9023507	0.7852724	0.9271048	0.9509008	0.89877254	0.8957921	0.9033189	0.87426645	0.89235246	0.9229447	0.84501034	0.90833753	0.88736856	0.8690094	0.84304535	0.89535594	0.90535176	0.928759	0.96229786	0.9547916	0.9380426	0.9177459	0.9058994	0.92800623	0.89124405	0.9122521	0.92701936	0.9051013	0.95432025	0.9128934	0.91330105	0.92488843	0.8868267	0.95594144	0.9373378	0.9068981	0.91049886	0.8797878	0.93535537	0.8542128	0.92348194	0.9371484	0.9241479	0.92028147	0.87991333	0.9322076	0.94257253	0.9107714	0.9134639	0.85805535	0.89750814	0.9332085	0.9793739	0.90791386	0.9305558	0.9365683	0.9117461	0.8940616	0.93087935	0.7674067	0.8395942	0.9048801	0.8599522	0.8550049	0.90498376	0.9482217	0.8781592	0.9124236	0.9019562	0.9427987	0.9483393	0.9324181	0.9476471	0.9211875	0.8940014	0.8442634	0.9216537	0.93915963	0.91224736	0.88540304	0.92315936	0.94543207	0.8871672	0.88985777	0.81362134	0.87111986	0.85989195	0.8387345	0.8947175	0.909661	0.92591524	0.91405356	0.93840194	0.86102045	0.8709974	0.9020654
geduld/noun	0.8994875	0.9052186	0.9420512	0.88904923	0.9069407	0.83151805	0.884827	0.95078075	0.8350925	0.93062764	0.9069277	0.8707267	0.94025594	0.9046854	0.9117603	0.92217743	0.9181662	0.8744949	0.88488156	0.892161	0.8872915	0.92144114	0.8779598	0.86689234	0.9252018	0.8553114	0.8110975	0.8910375	0.92875326	0.8876049	0.9242654	0.8939886	0.86562896	0.9246813	0.89076453	0.80319977	0.90260905	0.79969877	0.83997464	0.9240795	0.0	0.90321434	0.8976109	0.93839324	0.86101234	0.87887055	0.9128969	0.81731325	0.81817764	0.97463393	0.93674886	0.9014997	0.9001405	0.92064416	0.879683	0.91553354	0.90654373	0.865486	0.8300836	0.81841767	0.89473987	0.90630835	0.9473487	0.91177845	0.9257263	0.92340034	0.8866198	0.7915698	0.89203715	0.92749417	0.917574	0.8217899	0.9240301	0.91278213	0.93145466	0.826523	0.9067287	0.9251278	0.852321	0.9310423	0.9262786	0.9185757	0.90067935	0.94160044	0.8406577	0.93355966	0.9408414	0.81226707	0.94962025	0.8628715	0.9316725	0.9436435	0.91866183	0.82434225	0.8682573	0.8466215	0.87460583	0.91826135	0.861981	0.82386345	0.90090054	0.90085226	0.88570195	0.9157271	0.9115705	0.91377234	0.93540716	0.9239509	0.92544955	0.94103396	0.8957652	0.9367257	0.86739695	0.89532834	0.92506623	0.9077007	0.9342793	0.90552473	0.91845495	0.93374366	0.9220892	0.9522405	0.85278934	0.93046427	0.8833409	0.89602077	0.9438685	0.90078115	0.83122736	0.9212963	0.9097885	0.93655634	0.9027293	0.9387991	0.9198435	0.9063719	0.8791101	0.8620895	0.8774744	0.9157942	0.9735218	0.88308215	0.9116808	0.89354265	0.8384963	0.8888609	0.89188987	0.8921852	0.8790171	0.92569643	0.79325193	0.778983	0.9161706	0.9074722	0.86888725	0.7765244	0.86586034	0.9024516	0.8105354	0.9062592	0.93255174	0.9591635	0.8663482	0.8170132	0.84795207	0.92983645	0.8918797	0.8858621	0.89043194	0.9473477	0.88172126	0.8819791	0.8373913	0.864897	0.81424755	0.79505557	0.8940057	0.8840947	0.91384995	0.93712807	0.91553915	0.8239866	0.8635956	0.90190834
geef/verb	0.8796348	0.91004133	0.9522779	0.85665333	0.9157619	0.8071569	0.9187808	0.94539547	0.8439683	0.93861276	0.92023087	0.8724937	0.944208	0.83651024	0.9343068	0.80756027	0.93942535	0.6837884	0.9125633	0.8355404	0.8612706	0.8616058	0.90397817	0.8305166	0.9209348	0.8156459	0.7783991	0.8816432	0.8962476	0.8885113	0.917133	0.83791	0.71448195	0.9193424	0.9188438	0.7823062	0.8282922	0.72373927	0.843058	0.9121097	0.90321434	0.0	0.8416299	0.8611552	0.68916976	0.8839336	0.92598	0.8712163	0.8877779	0.95062834	0.9078808	0.9184544	0.89564717	0.93570024	0.872496	0.88968456	0.90509915	0.86207205	0.8005114	0.7535913	0.88115025	0.88596344	0.90948844	0.8768226	0.9279386	0.92134356	0.8650374	0.7710011	0.91250724	0.9069122	0.86566585	0.9569951	0.9382239	0.8882369	0.90757066	0.84466296	0.9084245	0.93624103	0.86049265	0.8730677	0.5080261	0.893947	0.8819282	0.92324734	0.8786236	0.9614759	0.91928047	0.857082	0.9249153	0.8336537	0.9063077	0.9683189	0.8839191	0.72412974	0.88967824	0.83439624	0.85923445	0.8650413	0.8152955	0.81948185	0.81478953	0.82877374	0.8858366	0.8820736	0.9049765	0.9315035	0.9513288	0.9255798	0.94280356	0.9543327	0.9112274	0.9636731	0.8830544	0.85831773	0.92824227	0.9067194	0.9151151	0.8715512	0.8886153	0.9379233	0.94404185	0.91798484	0.8781871	0.8830865	0.7959705	0.8165788	0.92824805	0.9039657	0.86554796	0.9411977	0.82620776	0.9175447	0.9189771	0.9613198	0.84668523	0.9067039	0.90349555	0.89426225	0.83416283	0.9083105	0.9624242	0.92973304	0.8807316	0.88451844	0.87367016	0.9159459	0.9201279	0.81939423	0.8670027	0.894846	0.8226327	0.7953232	0.8749912	0.88803214	0.91277736	0.8617126	0.82939017	0.93788993	0.8601234	0.91768664	0.9236361	0.953143	0.74758446	0.83183813	0.8954932	0.9328528	0.91789854	0.8889849	0.8988111	0.9422649	0.8754349	0.897782	0.7935764	0.8710433	0.76789176	0.7481312	0.8652105	0.8747409	0.92030483	0.8959655	0.90089035	0.79805034	0.73472357	0.8789539
geef_op/verb	0.8746699	0.80558836	0.92451435	0.8637577	0.8684006	0.8164585	0.89980084	0.9375305	0.87412757	0.93097246	0.9473874	0.85196024	0.93947417	0.8482595	0.9236116	0.89687335	0.9582887	0.84126914	0.8475344	0.84068865	0.89352465	0.8870698	0.8440603	0.8071915	0.8657641	0.75860363	0.82797706	0.903625	0.9042412	0.84860194	0.9019541	0.90777177	0.7766926	0.78908086	0.9008577	0.7997145	0.82133746	0.831362	0.8791859	0.9112487	0.8976109	0.8416299	0.0	0.88602567	0.8110652	0.8782254	0.9153478	0.86965674	0.87303174	0.95375	0.93527824	0.9070546	0.9034336	0.91673636	0.90700525	0.87018746	0.90780413	0.871083	0.7887819	0.8032281	0.88564783	0.88577986	0.92249376	0.8766573	0.92235315	0.94475	0.87867284	0.7220407	0.9045564	0.85800886	0.8740032	0.9596777	0.9459506	0.93471074	0.9461737	0.8825817	0.8916996	0.9545413	0.8145889	0.89161813	0.8579204	0.84968966	0.8687087	0.93305445	0.8880937	0.9219959	0.9620877	0.86525023	0.89850885	0.8178344	0.85862195	0.94398165	0.9107092	0.8390595	0.88776195	0.813846	0.9133806	0.8781617	0.80689895	0.83137023	0.8869728	0.8261269	0.87591106	0.8612577	0.8508803	0.91304845	0.944988	0.9345021	0.88806117	0.94669574	0.88003224	0.9311945	0.90123814	0.82660353	0.9010935	0.8629251	0.91066056	0.89797384	0.90055996	0.9520762	0.95606905	0.9417652	0.88354605	0.86389756	0.87220687	0.8481238	0.9147638	0.91011864	0.8806484	0.93649817	0.8522761	0.9278694	0.9323087	0.962109	0.8489393	0.8539964	0.90034485	0.85333747	0.8754936	0.9213338	0.96728075	0.8872614	0.8810739	0.9012834	0.8917149	0.8485116	0.892241	0.88435555	0.8078077	0.8760797	0.8833401	0.85313773	0.884315	0.9121561	0.91053665	0.8514695	0.79802114	0.9245313	0.899158	0.88309515	0.8141053	0.96157837	0.81615365	0.8615954	0.8623847	0.9087775	0.8542166	0.88998485	0.8934096	0.94116724	0.90631145	0.88015395	0.8901002	0.89288557	0.8744266	0.8568474	0.92795676	0.91553247	0.89095557	0.8921946	0.92353904	0.77245057	0.8243809	0.8558924
geef_uit/verb	0.89671063	0.81028384	0.9447012	0.92392284	0.9112681	0.7883905	0.9186208	0.96255463	0.9250971	0.940767	0.90371364	0.90251446	0.88873976	0.8165369	0.9487818	0.7786331	0.95189327	0.7782793	0.91846555	0.8668361	0.87556773	0.90628517	0.903984	0.8465916	0.93354607	0.7917041	0.8697243	0.9201848	0.9299328	0.90367264	0.94858575	0.89573777	0.7798324	0.93888795	0.9113378	0.75896007	0.8709867	0.89090484	0.9017207	0.93487	0.93839324	0.8611552	0.88602567	0.0	0.8636273	0.71908665	0.963249	0.9156546	0.92329216	0.9674559	0.8683283	0.9675376	0.95669883	0.9698079	0.89377844	0.8873059	0.8457893	0.8666829	0.8683409	0.8909756	0.9029185	0.8877014	0.93143547	0.8897613	0.8969542	0.969061	0.90127295	0.81200606	0.94523907	0.84594274	0.84071666	0.96861374	0.9339592	0.926175	0.96617603	0.8550126	0.9287528	0.9198785	0.90205735	0.6669059	0.84409606	0.9093622	0.90080184	0.97010535	0.9058739	0.9708776	0.9372178	0.9074318	0.88281685	0.9065591	0.8489456	0.9102709	0.8211334	0.7754493	0.9178947	0.89922756	0.87836885	0.7930755	0.8565825	0.84351754	0.86916214	0.89479834	0.89974725	0.877483	0.92243195	0.9345972	0.9637975	0.93683034	0.9184619	0.94833785	0.93717587	0.9557375	0.88344324	0.87077796	0.9347385	0.94278145	0.796106	0.88886696	0.91229844	0.92646015	0.95095277	0.9528973	0.9530626	0.87229794	0.82269996	0.89289415	0.93667537	0.8543132	0.90075105	0.9834183	0.90256107	0.9142927	0.9247916	0.9603259	0.8837107	0.9265197	0.9620428	0.9330437	0.8908419	0.90654415	0.9829293	0.9121192	0.8914916	0.8462525	0.9136603	0.9073569	0.9322819	0.89479655	0.8343955	0.940646	0.8728411	0.82042396	0.8954155	0.85554135	0.9345289	0.86154294	0.92666686	0.9671965	0.9114968	0.9048604	0.8771206	0.9755026	0.7602486	0.82010293	0.9092232	0.9667103	0.90435165	0.9311834	0.9276875	0.96405786	0.9330556	0.92614865	0.87814295	0.93830734	0.8980459	0.871565	0.9220989	0.84130895	0.9039103	0.9021599	0.9034404	0.8659528	0.85128295	0.84504837
geen/det	0.8436193	0.88334876	0.93890756	0.8375131	0.87631494	0.74476784	0.85738075	0.93228513	0.7866761	0.9355854	0.9098081	0.73044705	0.86405206	0.69272494	0.90724796	0.75797075	0.89638364	0.7480898	0.85894305	0.7549269	0.8282532	0.86372185	0.8642585	0.78633183	0.9003507	0.8209605	0.7043927	0.83948547	0.8157786	0.84718853	0.9000302	0.83276856	0.6698882	0.88771343	0.8522059	0.74542797	0.6965289	0.6050118	0.83718383	0.8111569	0.86101234	0.68916976	0.8110652	0.8636273	0.0	0.8362279	0.9120335	0.7857617	0.8469591	0.90085644	0.85034347	0.8593881	0.83542335	0.92172074	0.84013474	0.8533009	0.8567273	0.780269	0.81742215	0.6466613	0.8321309	0.8798944	0.9046278	0.8543822	0.8984592	0.9206044	0.8465082	0.7365818	0.87589496	0.8925766	0.8344347	0.93243706	0.9121485	0.8733849	0.9139096	0.7920202	0.89569914	0.93740755	0.8179625	0.8318262	0.72572607	0.8848696	0.8676866	0.91543853	0.84835124	0.9330838	0.911294	0.80631864	0.89054376	0.72893023	0.8477944	0.9316793	0.8465163	0.65774953	0.7973816	0.7930174	0.69864357	0.84692323	0.7220018	0.7818258	0.8434402	0.8072621	0.79484206	0.8671232	0.8343805	0.83461213	0.89872473	0.9200556	0.9196711	0.9338601	0.8963703	0.9362909	0.87097174	0.7598573	0.89789647	0.8623047	0.8944076	0.76459265	0.83968925	0.9174801	0.897604	0.90966827	0.88464916	0.86000174	0.812127	0.7995245	0.89487267	0.862326	0.80685693	0.93123543	0.8025116	0.8795622	0.91101825	0.94841814	0.8286319	0.8502022	0.91092217	0.8746557	0.8077412	0.8923787	0.9479774	0.87768257	0.83078986	0.8225082	0.8092706	0.8212988	0.8364348	0.77628356	0.79073757	0.8476393	0.71581674	0.6664775	0.84199953	0.85766006	0.86107963	0.8143798	0.83461195	0.87842757	0.8393011	0.8785035	0.91823405	0.9418986	0.6979767	0.79405826	0.84518445	0.9227556	0.79113495	0.8932811	0.8929009	0.9061745	0.8105732	0.863742	0.7263913	0.871951	0.6351692	0.5801398	0.847575	0.900616	0.8647282	0.87782574	0.8866288	0.79626685	0.51941764	0.8045533
geld/noun	0.92180383	0.8533432	0.96924907	0.9407822	0.90267867	0.83383745	0.86477655	0.91545606	0.9181208	0.96827	0.9366598	0.88101965	0.86065066	0.8974431	0.8986222	0.92007476	0.91914517	0.8483337	0.9060599	0.8670673	0.9137773	0.93156505	0.91253006	0.8133832	0.94323766	0.8304106	0.83684677	0.8893709	0.919819	0.94068956	0.9370139	0.9489245	0.8508785	0.943293	0.8837204	0.8110496	0.887604	0.8869872	0.8821336	0.93362296	0.87887055	0.8839336	0.8782254	0.71908665	0.8362279	0.0	0.9555549	0.9317466	0.9201091	0.95225954	0.85285497	0.9368279	0.9202691	0.94667995	0.88963366	0.85196376	0.8881778	0.8570169	0.88946414	0.84959877	0.9210578	0.92842966	0.92968786	0.9154199	0.8928998	0.94524103	0.8926589	0.7552448	0.92307585	0.89181316	0.8306545	0.9407806	0.9275581	0.96030396	0.94087994	0.8426508	0.9232219	0.89964706	0.9179205	0.7584701	0.8658948	0.9408403	0.89931244	0.93496454	0.9337259	0.931026	0.945757	0.902795	0.94326115	0.9055839	0.8556926	0.8916645	0.8236604	0.7519088	0.8735618	0.8819566	0.8654344	0.8749174	0.9013039	0.88568485	0.91018367	0.8885471	0.90003425	0.8938937	0.92051864	0.88437617	0.951147	0.92267567	0.91893095	0.81449556	0.9567672	0.9219518	0.9118236	0.90121686	0.9310723	0.9421601	0.75262487	0.8773975	0.924718	0.84282863	0.8944429	0.9252637	0.93589276	0.8764897	0.8338213	0.9043081	0.9520105	0.8791841	0.8652625	0.928806	0.93622243	0.9234586	0.9572869	0.95389855	0.8713318	0.9307389	0.96266925	0.9372689	0.93169576	0.92029196	0.94812554	0.8796966	0.9147385	0.891388	0.89073914	0.9316218	0.91739553	0.9185573	0.8121006	0.9153543	0.8383072	0.7707552	0.9138714	0.8567304	0.90479493	0.8875257	0.9300325	0.9610021	0.88263893	0.91188484	0.9132832	0.943014	0.7561477	0.84105754	0.91856277	0.96918714	0.9035499	0.93259275	0.939569	0.9582689	0.9119292	0.9000745	0.81053865	0.88563657	0.8660263	0.8038624	0.91025245	0.89659476	0.89890987	0.9137353	0.91760087	0.8797591	0.8735178	0.88074994
gelijkmaker/noun	0.92328966	0.94492936	0.90157545	0.867686	0.8929826	0.9257556	0.93059486	0.96594226	0.8957283	0.96942025	0.962627	0.901981	0.96953654	0.96802366	0.8866137	0.9596722	0.9707971	0.947815	0.8449276	0.9286554	0.9301576	0.9030963	0.9294272	0.8574928	0.9473523	0.85966754	0.84469646	0.92824477	0.9618262	0.9188714	0.91962963	0.9283592	0.86478907	0.9149308	0.90404737	0.8925316	0.9074101	0.9080681	0.93279177	0.9407156	0.9128969	0.92598	0.9153478	0.963249	0.9120335	0.9555549	0.0	0.9269967	0.8319348	0.9790714	0.96083975	0.94381046	0.95316243	0.93347013	0.90847945	0.9078107	0.9531175	0.9393878	0.9238995	0.9147036	0.92446196	0.93026334	0.9731597	0.9178911	0.9430371	0.9295664	0.933485	0.91630274	0.91880524	0.9210408	0.91487956	0.9641135	0.9766486	0.9489692	0.9465785	0.9402425	0.94165415	0.9238589	0.90800685	0.97915787	0.90283334	0.85113484	0.89881253	0.9302948	0.9591813	0.9633064	0.9298203	0.91986185	0.926962	0.8664406	0.9136569	0.94539255	0.96048874	0.94346833	0.95250857	0.9215828	0.9136302	0.9593136	0.86102504	0.883366	0.9499217	0.9131141	0.92166686	0.85367453	0.91983724	0.9563751	0.97641295	0.9518564	0.919714	0.96891814	0.9211038	0.9661208	0.92688686	0.9292077	0.79322815	0.89241403	0.9506302	0.9327415	0.91099626	0.94818896	0.9530051	0.95698196	0.6080648	0.9314456	0.9153483	0.92622596	0.94530404	0.8578211	0.93089855	0.96603245	0.9502759	0.96146655	0.93214935	0.940627	0.96625173	0.9549153	0.93861127	0.9307826	0.93235075	0.94453514	0.90975606	0.9091615	0.9420742	0.9385491	0.9040119	0.9540401	0.940688	0.9610851	0.9257271	0.87417436	0.8987931	0.93439585	0.9179495	0.93818885	0.910859	0.94807047	0.86238396	0.9156937	0.89779997	0.93370456	0.96485543	0.972595	0.8806305	0.90656924	0.89244944	0.93261725	0.9382224	0.84727764	0.92971927	0.93393856	0.89470345	0.9096223	0.8902032	0.86886	0.866937	0.92255914	0.94517154	0.9382157	0.9661811	0.8479826	0.95723814	0.8850923	0.9240974	0.9002248
